#{"t_start": 1646340729.9578292, "env_id": "wordle-v0"}
r,l,t
39,5,47.209068
33,3,47.209068
31,9,47.24032
32,5,47.24032
36,5,47.255949
29,3,47.27157
37,9,47.287192
0,9,47.318445
31,9,47.33407
32,4,47.33407
25,2,47.349692
1,10,47.365319
33,3,47.380942
31,3,47.380942
33,3,47.396569
33,7,47.412195
30,6,47.427817
29,2,47.443443
26,15,47.474695
31,5,47.490319
29,16,47.537192
31,4,47.537192
29,2,47.55282
25,1,47.55282
25,1,47.55282
25,2,47.568442
33,3,47.568442
25,1,47.568442
30,4,47.58407
31,5,47.599693
31,9,47.615319
28,9,47.646568
31,3,47.646568
27,2,47.662194
33,3,47.662194
25,1,47.662194
25,1,47.662194
42,6,48.380943
25,2,48.380943
27,4,48.39657
29,2,48.39657
28,10,48.427819
32,5,48.427819
33,7,48.459068
26,4,48.474695
34,7,48.49032
43,4,48.505944
40,9,48.521567
25,1,48.521567
31,2,48.537193
33,7,48.552818
29,2,48.552818
40,7,48.57064
36,6,48.586267
27,2,48.601893
30,6,48.601893
29,2,48.617516
28,3,48.617516
27,3,48.633143
31,3,48.633143
25,1,48.633143
32,6,48.648768
33,3,48.664393
30,10,48.695643
31,9,48.711268
29,2,48.726891
33,4,48.726891
29,2,48.742518
32,5,48.758144
35,5,48.773769
29,2,48.789395
31,7,48.805018
25,1,48.820643
40,7,48.836269
41,3,48.851894
32,6,48.867518
29,2,48.867518
25,2,48.883143
25,2,48.883143
36,6,48.89877
24,3,48.914395
25,1,48.914395
31,6,48.930021
33,7,48.96127
38,13,48.99252
25,1,48.99252
41,4,49.008144
31,3,49.02377
32,4,49.02377
30,7,49.055019
28,5,49.070644
31,3,49.070644
41,3,49.086269
25,1,49.086269
32,4,49.101893
31,10,49.961269
33,3,49.961269
-14,13,49.992519
26,3,50.008145
25,1,50.008145
23,30,50.117519
25,1,50.117519
39,5,50.133144
25,1,50.148768
29,2,50.148768
-37,36,50.258144
